Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C19,10µF,C_1206_3216Metric,74.1375,-61.737516,-90.0,top
C2,100nF,C_0402_1005Metric-no-silkscreen-text,58.787072,-43.755444,180.0,top
C20,100nF,C_0402_1005Metric-no-silkscreen-text,71.281,-55.7924,0.0,top
C21,100nF,C_0402_1005Metric-no-silkscreen-text,59.081,-66.7924,180.0,top
C23,4.7µF,C_0402_1005Metric-no-silkscreen-text,70.6575,-48.357516,-90.0,top
C24,1µF,C_0402_1005Metric-no-silkscreen-text,74.4575,-47.557516,-90.0,top
C25,100nF,C_0402_1005Metric-no-silkscreen-text,92.7875,-43.9875,-90.0,top
C26,4.7µF,C_0402_1005Metric-no-silkscreen-text,94.7875,-43.9875,-90.0,top
C27,100nF,C_0402_1005Metric-no-silkscreen-text,87.6875,-46.687532,0.0,top
C28,22µF,C_1206_3216Metric,96.5875,-50.987532,180.0,top
C29,22µF,C_1206_3216Metric,93.3875,-48.287532,180.0,top
C3,15p,C_0402_1005Metric-no-silkscreen-text,62.406,-70.5124,180.0,top
C30,75pF,C_0402_1005Metric-no-silkscreen-text,84.4875,-43.987532,90.0,top
C31,10µF,C_1206_3216Metric,94.3895,-63.090032,-90.0,top
C32,100nF,C_0402_1005Metric-no-silkscreen-text,92.6895,-62.890032,-90.0,top
C33,100nF,C_0402_1005Metric-no-silkscreen-text,87.5895,-65.590032,0.0,top
C34,22µF,C_1206_3216Metric,96.4895,-69.890032,180.0,top
C35,22µF,C_1206_3216Metric,93.2895,-67.190032,180.0,top
C36,75pF,C_0402_1005Metric-no-silkscreen-text,84.3895,-62.890032,90.0,top
C38,100nF,C_0402_1005Metric-no-silkscreen-text,58.2375,-117.037516,0.0,top
C39,100nF,C_0402_1005Metric-no-silkscreen-text,36.7375,-63.237516,-90.0,top
C4,15p,C_0402_1005Metric-no-silkscreen-text,65.376,-70.5124,0.0,top
C40,10µF,C_1206_3216Metric,37.8375,-81.237516,0.0,top
